[02-Feb-2009 18:44:54] PHP Warning:  getimagesize(images//libraries/tcpdfstories//libraries/tcpdfquotes//libraries/tcpdfgreen_thecompany.gif): failed to open stream: No such file or directory in /libraries/tcpdf/tcpdf.php on line 3694
[02-Feb-2009 18:44:56] PHP Warning:  getimagesize(images//libraries/tcpdfstories//libraries/tcpdfquotes//libraries/tcpdfgreen_thecompany.gif): failed to open stream: No such file or directory in /libraries/tcpdf/tcpdf.php on line 3694
[02-Feb-2009 18:45:10] PHP Warning:  getimagesize(images//libraries/tcpdfstories//libraries/tcpdfclients//libraries/tcpdfph-trend-micro.jpg): failed to open stream: No such file or directory in /libraries/tcpdf/tcpdf.php on line 3672
[02-Feb-2009 18:45:12] PHP Warning:  getimagesize(images//libraries/tcpdfstories//libraries/tcpdfclients//libraries/tcpdfph-trend-micro.jpg): failed to open stream: No such file or directory in /libraries/tcpdf/tcpdf.php on line 3672
[02-Feb-2009 18:45:18] PHP Warning:  getimagesize(images//libraries/tcpdfstories//libraries/tcpdfquotes//libraries/tcpdfecci_consultants.gif): failed to open stream: No such file or directory in /libraries/tcpdf/tcpdf.php on line 3694
[02-Feb-2009 18:45:20] PHP Warning:  getimagesize(images//libraries/tcpdfstories//libraries/tcpdfquotes//libraries/tcpdfecci_consultants.gif): failed to open stream: No such file or directory in /libraries/tcpdf/tcpdf.php on line 3694
[02-Feb-2009 18:45:24] PHP Warning:  getimagesize(images//libraries/tcpdfstories//libraries/tcpdfquotes//libraries/tcpdfgreen_thecompany.gif): failed to open stream: No such file or directory in /libraries/tcpdf/tcpdf.php on line 3694
[02-Feb-2009 18:45:28] PHP Warning:  getimagesize(images//libraries/tcpdfstories//libraries/tcpdfquotes//libraries/tcpdfgreen_thecompany.gif): failed to open stream: No such file or directory in /libraries/tcpdf/tcpdf.php on line 3694
[02-Feb-2009 18:45:43] PHP Warning:  getimagesize(images//libraries/tcpdfstories//libraries/tcpdfquotes//libraries/tcpdfgreen_standardscompliance.gif): failed to open stream: No such file or directory in /libraries/tcpdf/tcpdf.php on line 3694
[02-Feb-2009 18:45:48] PHP Warning:  getimagesize(images//libraries/tcpdfstories//libraries/tcpdfquotes//libraries/tcpdfgreen_standardscompliance.gif): failed to open stream: No such file or directory in /libraries/tcpdf/tcpdf.php on line 3694
[02-Feb-2009 18:45:50] PHP Warning:  getimagesize(images//libraries/tcpdfstories//libraries/tcpdfquotes//libraries/tcpdfconsulting.jpg): failed to open stream: No such file or directory in /libraries/tcpdf/tcpdf.php on line 3672
[02-Feb-2009 18:45:53] PHP Warning:  getimagesize(images//libraries/tcpdfstories//libraries/tcpdfquotes//libraries/tcpdfconsulting.jpg): failed to open stream: No such file or directory in /libraries/tcpdf/tcpdf.php on line 3672
[02-Feb-2009 18:45:56] PHP Warning:  getimagesize(images//libraries/tcpdfstories//libraries/tcpdf5D-our-approach.jpg): failed to open stream: No such file or directory in /libraries/tcpdf/tcpdf.php on line 3672
[02-Feb-2009 18:46:01] PHP Warning:  getimagesize(images//libraries/tcpdfstories//libraries/tcpdf5D-our-approach.jpg): failed to open stream: No such file or directory in /libraries/tcpdf/tcpdf.php on line 3672
[02-Feb-2009 18:46:25] PHP Warning:  getimagesize(images//libraries/tcpdfstories//libraries/tcpdfquotes//libraries/tcpdfit-excellence.jpg): failed to open stream: No such file or directory in /libraries/tcpdf/tcpdf.php on line 3672
[02-Feb-2009 18:46:29] PHP Warning:  getimagesize(images//libraries/tcpdfstories//libraries/tcpdfquotes//libraries/tcpdfit-excellence.jpg): failed to open stream: No such file or directory in /libraries/tcpdf/tcpdf.php on line 3672
[03-Feb-2009 04:15:06] PHP Warning:  getimagesize(images//libraries/tcpdfstories//libraries/tcpdfclients//libraries/tcpdfph-trend-micro.jpg): failed to open stream: No such file or directory in /libraries/tcpdf/tcpdf.php on line 3672
[03-Feb-2009 04:15:55] PHP Warning:  getimagesize(images//libraries/tcpdfstories//libraries/tcpdfquotes//libraries/tcpdfgreen_thecompany.gif): failed to open stream: No such file or directory in /libraries/tcpdf/tcpdf.php on line 3694
[03-Feb-2009 04:16:04] PHP Warning:  getimagesize(images//libraries/tcpdfstories//libraries/tcpdfquotes//libraries/tcpdfgreen_thecompany.gif): failed to open stream: No such file or directory in /libraries/tcpdf/tcpdf.php on line 3694
[03-Feb-2009 04:16:10] PHP Warning:  getimagesize(images//libraries/tcpdfstories//libraries/tcpdfquotes//libraries/tcpdfecci_consultants.gif): failed to open stream: No such file or directory in /libraries/tcpdf/tcpdf.php on line 3694
[05-Feb-2009 08:26:45] PHP Warning:  preg_replace(): Compilation failed: PCRE does not support \L, \l, \N, \P, \p, \U, \u, or \X at offset 3 in /administrator/components/com_phocagallery/helpers/phocagallery.php on line 1192
[05-Feb-2009 08:26:46] PHP Warning:  preg_replace(): Compilation failed: PCRE does not support \L, \l, \N, \P, \p, \U, \u, or \X at offset 3 in /administrator/components/com_phocagallery/helpers/phocagallery.php on line 1192
[05-Feb-2009 08:26:46] PHP Warning:  preg_replace(): Compilation failed: PCRE does not support \L, \l, \N, \P, \p, \U, \u, or \X at offset 3 in /administrator/components/com_phocagallery/helpers/phocagallery.php on line 1192
[05-Feb-2009 08:26:46] PHP Warning:  preg_replace(): Compilation failed: PCRE does not support \L, \l, \N, \P, \p, \U, \u, or \X at offset 3 in /administrator/components/com_phocagallery/helpers/phocagallery.php on line 1192
[05-Feb-2009 08:26:46] PHP Warning:  preg_replace(): Compilation failed: PCRE does not support \L, \l, \N, \P, \p, \U, \u, or \X at offset 3 in /administrator/components/com_phocagallery/helpers/phocagallery.php on line 1192
[05-Feb-2009 08:26:46] PHP Warning:  preg_replace(): Compilation failed: PCRE does not support \L, \l, \N, \P, \p, \U, \u, or \X at offset 3 in /administrator/components/com_phocagallery/helpers/phocagallery.php on line 1192
[05-Feb-2009 08:35:23] PHP Warning:  preg_replace(): Compilation failed: PCRE does not support \L, \l, \N, \P, \p, \U, \u, or \X at offset 3 in /administrator/components/com_phocagallery/helpers/phocagallery.php on line 1192
[05-Feb-2009 08:36:06] PHP Warning:  preg_replace(): Compilation failed: PCRE does not support \L, \l, \N, \P, \p, \U, \u, or \X at offset 3 in /administrator/components/com_phocagallery/helpers/phocagallery.php on line 1192
[05-Feb-2009 08:37:21] PHP Warning:  preg_replace(): Compilation failed: PCRE does not support \L, \l, \N, \P, \p, \U, \u, or \X at offset 3 in /administrator/components/com_phocagallery/helpers/phocagallery.php on line 1192
[05-Feb-2009 08:37:42] PHP Warning:  preg_replace(): Compilation failed: PCRE does not support \L, \l, \N, \P, \p, \U, \u, or \X at offset 3 in /administrator/components/com_phocagallery/helpers/phocagallery.php on line 1192
[05-Feb-2009 08:38:04] PHP Warning:  preg_replace(): Compilation failed: PCRE does not support \L, \l, \N, \P, \p, \U, \u, or \X at offset 3 in /administrator/components/com_phocagallery/helpers/phocagallery.php on line 1192
[05-Feb-2009 08:39:06] PHP Warning:  preg_replace(): Compilation failed: PCRE does not support \L, \l, \N, \P, \p, \U, \u, or \X at offset 3 in /administrator/components/com_phocagallery/helpers/phocagallery.php on line 1192
[05-Feb-2009 08:39:24] PHP Warning:  preg_replace(): Compilation failed: PCRE does not support \L, \l, \N, \P, \p, \U, \u, or \X at offset 3 in /administrator/components/com_phocagallery/helpers/phocagallery.php on line 1192
[05-Feb-2009 08:54:20] PHP Warning:  preg_replace(): Compilation failed: PCRE does not support \L, \l, \N, \P, \p, \U, \u, or \X at offset 3 in /administrator/components/com_phocagallery/helpers/phocagallery.php on line 1192
[05-Feb-2009 08:54:20] PHP Warning:  preg_replace(): Compilation failed: PCRE does not support \L, \l, \N, \P, \p, \U, \u, or \X at offset 3 in /administrator/components/com_phocagallery/helpers/phocagallery.php on line 1192
[05-Feb-2009 08:54:20] PHP Warning:  preg_replace(): Compilation failed: PCRE does not support \L, \l, \N, \P, \p, \U, \u, or \X at offset 3 in /administrator/components/com_phocagallery/helpers/phocagallery.php on line 1192
[05-Feb-2009 08:54:20] PHP Warning:  preg_replace(): Compilation failed: PCRE does not support \L, \l, \N, \P, \p, \U, \u, or \X at offset 3 in /administrator/components/com_phocagallery/helpers/phocagallery.php on line 1192
[05-Feb-2009 08:54:20] PHP Warning:  preg_replace(): Compilation failed: PCRE does not support \L, \l, \N, \P, \p, \U, \u, or \X at offset 3 in /administrator/components/com_phocagallery/helpers/phocagallery.php on line 1192
[05-Feb-2009 08:56:56] PHP Warning:  preg_replace(): Compilation failed: PCRE does not support \L, \l, \N, \P, \p, \U, \u, or \X at offset 3 in /administrator/components/com_phocagallery/helpers/phocagallery.php on line 1192
[05-Feb-2009 08:56:56] PHP Warning:  preg_replace(): Compilation failed: PCRE does not support \L, \l, \N, \P, \p, \U, \u, or \X at offset 3 in /administrator/components/com_phocagallery/helpers/phocagallery.php on line 1192
[05-Feb-2009 08:56:56] PHP Warning:  preg_replace(): Compilation failed: PCRE does not support \L, \l, \N, \P, \p, \U, \u, or \X at offset 3 in /administrator/components/com_phocagallery/helpers/phocagallery.php on line 1192
[06-Feb-2009 03:15:08] PHP Warning:  getimagesize(images//libraries/tcpdfstories//libraries/tcpdfclients//libraries/tcpdfph-trend-micro.jpg): failed to open stream: No such file or directory in /libraries/tcpdf/tcpdf.php on line 3672
